Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Dianne Wiest,ACTRESS IN A SUPPORTING ROLE,Hannah and Her Sisters,True,1987,Female,White,Straight,Na,30
David Lynch,DIRECTING,Blue Velvet,False,1987,Male,White,Straight,Na,40
Woody Allen,DIRECTING,Hannah and Her Sisters,False,1987,Male,White,Straight,Agnostic,50
Roland Joffé,DIRECTING,The Mission,False,1987,Male,White,Straight,Na,40
Oliver Stone,DIRECTING,Platoon,True,1987,Male,White,Straight,Atheist,40
James Ivory,DIRECTING,A Room with a View,False,1987,Male,White,Gay,Na,50
Michael Douglas,ACTOR,Wall Street,True,1988,Male,White,Straight,Jewish,40
William Hurt,ACTOR,Broadcast News,False,1988,Male,White,Straight,Lutheran,30
Marcello Mastroianni,ACTOR,Dark Eyes,False,1988,Male,White,Straight,Na,60
Jack Nicholson,ACTOR,Ironweed,False,1988,Male,White,Straight,Atheist,50
Robin Williams,ACTOR,"Good Morning, Vietnam",False,1988,Male,White,Straight,Anglican/Episcopalian,30
Albert Brooks,ACTOR IN A SUPPORTING ROLE,Broadcast News,False,1988,Male,White,Straight,Jewish,40
Sean Connery,ACTOR IN A SUPPORTING ROLE,The Untouchables,True,1988,Male,White,Straight,Roman Catholic,50
Morgan Freeman,ACTOR IN A SUPPORTING ROLE,Street Smart,False,1988,Male,Black,Straight,Na,50
Vincent Gardenia,ACTOR IN A SUPPORTING ROLE,Moonstruck,False,1988,Male,White,Straight,Na,60
Denzel Washington,ACTOR IN A SUPPORTING ROLE,Cry Freedom,False,1988,Male,Black,Straight,Protestant,30
Cher,ACTRESS,Moonstruck,True,1988,Female,White,Bisexual,Na,40
Glenn Close,ACTRESS,Fatal Attraction,False,1988,Female,White,Straight,Na,40
Holly Hunter,ACTRESS,Broadcast News,False,1988,Female,White,Straight,Na,20
Sally Kirkland,ACTRESS,Anna,False,1988,Female,White,Na,Na,40
Meryl Streep,ACTRESS,Ironweed,False,1988,Female,White,Straight,Na,30
Norma Aleandro,ACTRESS IN A SUPPORTING ROLE,Gaby - A True Story,False,1988,Female,Hispanic,Straight,Na,50
Anne Archer,ACTRESS IN A SUPPORTING ROLE,Fatal Attraction,False,1988,Female,White,Straight,Scientology,40
Olympia Dukakis,ACTRESS IN A SUPPORTING ROLE,Moonstruck,True,1988,Female,White,Straight,Na,50
Anne Ramsey,ACTRESS IN A SUPPORTING ROLE,Throw Momma from the Train,False,1988,Female,White,Straight,Na,50
Ann Sothern,ACTRESS IN A SUPPORTING ROLE,The Whales of August,False,1988,Female,White,Straight,Na,70
Adrian Lyne,DIRECTING,Fatal Attraction,False,1988,Male,Na,Straight,Na,40
John Boorman,DIRECTING,Hope and Glory,False,1988,Male,White,Straight,Na,50
Bernardo Bertolucci,DIRECTING,The Last Emperor,True,1988,Male,White,Straight,Na,40
Norman Jewison,DIRECTING,Moonstruck,False,1988,Male,White,Straight,Na,60
Lasse Hallström,DIRECTING,My Life as a Dog,False,1988,Male,White,Straight,Na,40
Gene Hackman,ACTOR,Mississippi Burning,False,1989,Male,White,Straight,Na,50
